CTRL_1	CTRL_2	CTRL_3	CTRL_4	R1881_1	R1881_2	R1881_3	R1881_4	Enza_1	Enza_2	Enza_3	Enza_4	C6_1	C6_2	C6_3	C6_4	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	T	T	T	T	T
18.9407863616943	19.4644641876221	19.3082485198975	19.562780380249	19.7511081695557	19.1849365234375	19.4880199432373	19.0118255615234	19.4337062835693	19.4275054931641	19.5143909454346	19.7613086700439	20.1078910827637	19.2656059265137	19.8876457214355	18.854377746582	A0A075B759;A0A075B767;A0A0B4J2A2;F5H284;P0DN26;P0DN37;Q9Y536	A0A0B4J2A2;A0A075B767;P0DN37;F5H284;Q9Y536;P0DN26;A0A075B759	PAL4A_HUMAN;PAL4C_HUMAN;PAL4D_HUMAN;PAL4E_HUMAN;PAL4F_HUMAN;PAL4G_HUMAN;PAL4H_HUMAN	PPIAL4A;PPIAL4C;PPIAL4D;PPIAL4E;PPIAL4F;PPIAL4G;PPIAL4H	Peptidyl-prolyl cis-trans isomerase A-like 4E
20.9024219512939	20.8876247406006	21.176456451416	21.0558967590332	20.8268718719482	21.0690727233887	21.2302265167236	21.287712097168	19.4844703674316	19.6673698425293	21.0821285247803	21.126916885376	20.9170684814453	21.1014938354492	19.4982872009277	20.0019588470459	A0A096LP01	A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26
24.3645286560059	24.246265411377	24.289119720459	24.2020969390869	24.3778247833252	24.2389965057373	24.2316913604736	24.2389965057373	24.3578338623047	24.384428024292	24.2389965057373	24.2095527648926	24.3511066436768	24.289119720459	24.3578338623047	24.2961406707764	A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial
NaN	NaN	18.2052307128906	NaN	NaN	NaN	NaN	NaN	17.9507999420166	18.7467670440674	NaN	18.7890148162842	NaN	NaN	18.7935428619385	NaN	A0A0C4DH73;P01601;P01611	A0A0C4DH73;P01601;P01611	KV112_HUMAN;KVD12_HUMAN;KVD16_HUMAN	IGKV1-12;IGKV1D-12;IGKV1D-16	Immunoglobulin kappa variable 1-12
21.5869197845459	21.2534961700439	21.3211345672607	20.9097633361816	19.6219043731689	19.9742126464844	21.1580772399902	21.2707061767578	20.2534961700439	21.4725875854492	21.3962364196777	21.4475841522217	21.3962364196777	19.140552520752	21.2125244140625	21.4118328094482	A0A0G2JKW9	A0A0G2JKW9	A0A0G2JKW9_HUMAN		DLL
32.0216827392578	31.8973522186279	31.8459529876709	32.1391944885254	31.9848155975342	31.9915885925293	31.8157386779785	31.9399967193604	32.092700958252	31.9434947967529	32.32763671875	31.9780101776123	32.0315742492676	31.9045486450195	32.0895462036133	32.0381317138672	A0A2R8Y619;P58876;P62807;Q5QNW6;Q93079;Q96A08;Q99877;Q99879	P57053;Q99879;Q16778;Q5QNW6;O60814;P62807;P23527;Q99877;Q99880;P06899;P33778;P58876;Q8N257;Q93079;Q96A08;A0A2R8Y619	H2B1A_HUMAN;H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BK1_HUMAN	H2BC1;H2BC10;H2BC14;H2BC15;H2BC18;H2BC5;H2BC9;H2BK1	Histone H2B type 2-K1
18.511926651001	18.7697887420654	18.875659942627	19.348653793335	18.3851203918457	18.8770236968994	19.134729385376	18.4281520843506	18.489953994751	19.1761150360107	18.9272403717041	19.1728019714355	19.197811126709	19.2516040802002	19.2206954956055	19.2629375457764	A0AV02	A0AV02	S12A8_HUMAN	SLC12A8	Solute carrier family 12 member 8
22.3156185150146	22.3321056365967	22.2820663452148	22.4800052642822	22.4475841522217	22.2735538482666	22.3266315460205	22.4526195526123	22.3073024749756	22.2360801696777	22.3988475799561	22.4576377868652	22.3988475799561	22.3804702758789	22.3402805328369	22.318380355835	A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47
20.6364402770996	20.6005954742432	20.4169960021973	20.4475841522217	19.8686943054199	20.1078910827637	20.4971656799316	20.5261173248291	19.5208206176758	20.3645286560059	20.4576377868652	20.7875576019287	20.582332611084	20.310079574585	20.5068817138672	20.4873847961426	A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56
